number,price,shipping,priceShipping,numBids,numBidders,topSellerPlus,itemNumber,sellerName,positiveFeedbackRate,sellerScore,winningBid,endTime,lastBid,minPast,daysDuration,minsDuration,lastPercentage
1,355.00,0,355.00,24,13,0,224366741442,starseller-1,100,1377,355.00,05/03/21 11:55:33 AM,05/03/21 11:27:38 AM,28,7,10080,0.28
2,345.00,0,345.00,6,2,0,284207393808,wildthang428,100,153,345.00,04/03/21 2:04:47 PM,04/03/21 2:04:47 PM,0,7,10080,0.00
3,440.00,12,452.00,22,10,0,143962723640,uk1916,0,14,440.00,04/03/21 1:03:20 PM,04/03/21 12:57:29 PM,6,5,7200,0.08
4,610.00,14,624.00,43,9,1,373474107170,probstein123,99.8,818779,610.00,03/03/21 8:00:08 PM,26/02/21 11:22:03 PM,6998,7,10080,69.43
5,344.00,15.2,359.20,2,2,0,133676758651,artcomputer2011,100,769,344.00,03/03/21 2:45:47 PM,03/03/21 2:35:22 PM,10,5,7200,0.14
6,360.00,0,360.00,1,1,0,164731836757,randomthingz18465,100,157,360.00,28/02/21 8:15:55 PM,28/02/21 8:15:55 PM,0,5,7200,0.00
7,355.00,15,370.00,11,9,0,363294495079,scubacat613,100,325,355.00,22/02/21 10:26:26 AM,22/02/21 6:04:15 AM,262,7,10080,2.60
8,340.00,15,355.00,10,8,0,174644581630,trekusps5200,100,256,340.00,22/02/21 8:36:36 AM,22/02/21 8:36:34 AM,0,3,4320,0.00
9,345.03,12.29,357.32,53,16,0,393136619400,joe12905,100,318,345.03,22/02/21 5:26:51 AM,21/02/21 12:37:18 PM,1010,5,7200,14.02
10,348.00,0,348.00,8,8,0,143953073627,hug911,100,217,348.00,21/02/21 3:57:49 PM,21/02/21 3:57:43 PM,0,3,4320,0.00
11,345.00,14.84,359.84,16,8,0,154329610175,vgur2419,100,27,345.00,19/02/21 7:04:46 PM,19/02/21 7:04:40 PM,0,7,10080,0.00
12,355.00,0,355.00,8,6,0,143949749468,hug911,100,217,355.00,18/02/21 10:59:11 AM,18/02/21 10:57:41 AM,2,3,4320,0.03
13,380.00,0,380.00,75,23,0,402684755220,camilojarroyo,0,0,380.00,16/02/21 3:02:31 PM,13/02/21 7:32:37 PM,4050,7,10080,40.18
14,335.00,21.5,356.50,4,3,0,393124176606,rummagerambler,100,76,335.00,13/02/21 5:46:36 PM,13/02/21 5:46:28 PM,0,7,10080,0.00
15,344.00,0,344.00,2,2,0,193887657242,hillcreststampsandcoins,100,3309,344.00,13/02/21 2:23:04 PM,13/02/21 2:23:02 PM,0,3,4320,0.00
16,321.00,11.69,332.69,12,10,0,164688418471,randomthingz18465,100,157,321.00,12/02/21 8:48:15 PM,12/02/21 8:48:08 PM,0,7,10080,0.00
17,360.00,0,360.00,1,1,0,164699541257,floppydisks,100,110,360.00,12/02/21 2:21:42 PM,12/02/21 2:21:42 PM,0,7,10080,0.00
18,310.00,11.1,321.10,9,5,0,184649795992,jotay_766046,0,0,310.00,11/02/21 5:17:05 AM,11/02/21 5:12:37 AM,4,7,10080,0.04
19,329.17,12.29,341.46,71,23,0,393118435795,joe12905,100,318,329.17,06/02/21 4:06:24 PM,06/02/21 4:04:11 PM,2,5,7200,0.03
20,317.00,14,331.00,14,7,1,383922614980,probstein123,99.8,818779,317.00,03/02/21 8:00:35 PM,02/02/21 12:49:11 PM,1871,7,10080,18.57
21,380.00,14,394.00,24,10,1,383920717409,probstein123,99.8,818779,380.00,02/02/21 8:00:27 PM,02/02/21 5:07:16 AM,893,7,10080,8.86
22,336.00,11.69,347.69,13,11,0,164669815814,randomthingz18465,100,157,336.00,02/02/21 3:09:40 PM,02/02/21 3:09:04 PM,1,7,10080,0.01
23,305.00,10.1,315.10,10,4,0,233872199209,amajo4078,0,0,305.00,01/02/21 11:02:33 AM,01/02/21 10:25:50 AM,37,7,10080,0.36
24,327.00,15,342.00,33,15,0,164663940464,turbinesurgeon,100,953,327.00,30/01/21 1:57:25 PM,30/01/21 1:54:19 PM,3,7,10080,0.03
