number,price,shipping,priceShipping,itemNumber,sellerName,Time ended,positiveFeedbackRate,sellerScore,topSellerPlus
1,399,0,399,124106793926,goodpointselectronics,Mar-4 11:53,99.6,5803,0
2,399,0,399,124106793327,goodpointselectronics,Mar-4 11:52,99.6,5803,0
3,369.99,0,369.99,143966352702,easoapps,Mar-3 16:06,99.2,1551,0
4,377.99,0,377.99,203192585051,"techdiscounts-77,techdiscounts-77",Mar-2 14:07,98.8,3525,1
5,399,0,399,154325587525,ehsanp60,Feb-28 11:29,99.5,1028,0
6,379.99,0,379.99,193762446987,"techdiscounts-77,techdiscounts-77",Feb-26 05:59,98.8,3525,1
7,395,0,395,303873284976,syehabi_7,Feb-25 12:15,100,18,0
8,358,10.1,368.1,174653123309,microg00,Feb-25 12:09,100,314,0
9,379.89,0,379.89,193894236995,"champtech-store,champtech-store",Feb-25 12:08,100,1294,0
10,355,0,355,164722103799,meersales_2013,Feb-25 12:03,100,388,0
11,315,11.95,326.95,393151397976,dgiv-46,Feb-24 15:38,100,1,0
12,350,8.85,358.85,303895819512,nze_08,Feb-24 15:18,100,21,0
13,172.99,0,172.99,284196807905,"mikesmerchbhm,mikesmerchbhm",Feb-24 15:04,97.3,15251,0
14,396.75,0,396.75,293468660295,"greatbuy,greatbuy",Feb-23 19:51,100,12549,1
15,384,0,384,233851000877,"majama723,majama723",Feb-23 18:56,100,2176,1
16,299,29,328,233904942680,bennyd99,Feb-21 18:34,100,164,0
17,355,0,355,164701902005,meersales_2013,Feb-20 18:37,100,388,0
18,502.14,39.6,541.74,254425036411,gadgetonsale,Feb-20 07:44,99.6,571,0
19,435,0,435,264804486327,bg.usa,Feb-19 16:35,99.9,1765,1
20,435,12.35,447.35,203275639182,caliigrails,Feb-12 07:25,100,67,0
21,399.99,0,399.99,254858642746,"elephantdealscorp,elephantdealscorp",Feb-10 14:44,100,2330,1
22,395,0,395,203262504495,eliteautobrokersbistro,Feb-3 13:36,100,69,0
23,350,11.95,361.95,363275007852,lionlit-79,Jan-28 15:42,100,19,0
24,300,15.2,315.2,164738423220,taurus_pos,Mar-3 14:00,100,9,0
25,350,0,350,402724760458,littlejoesstate ,Mar-2 21:05,99.5,437,0
26,359.99,0,359.99,154353658429,txdeals4you ,Mar-1 19:35,99.5,1043,0
27,359.99,0,359.99,154351996258,txdeals4you ,Mar-1 09:51,99.5,1043,0
28,429.95,0,429.95,233907018743,cellsnothertech4u,Feb-28 12:47,100,1056,0
29,368,0,368,224368113702,bestbestdeal ,Feb-27 19:53,100,19872,1
30,370,15.2,385.2,133667338630,chrikassa68,Feb-25 12:23,0,0,0
31,388,0,388,383964615076,johnjohn877,Feb-25 12:11,100,69,0
32,299,29,328,233909862054,bennyd99,Feb-25 11:45,100,164,0
33,300,0,300,353398802968,agonz-22,Feb-25 09:03,0,0,0
34,350,10.1,360.1,164723456105,kobedat ,Feb-25 07:04,100,448,0
35,499.99,4.99,504.98,264958686810,rpelectronics,Feb-25 04:05,99,3354,0
36,374.99,0,374.99,284192103514,dashingshoes,Feb-24 14:58,99,9560,0
37,383.99,0,383.99,284190610863,mikesmerchbhm,Feb-24 06:14,97.3,15253,0
38,360,0,360,184674012633,mordo83,Feb-23 10:22,96.1,116,0
39,325,0,325,184676809956,middlax21,Feb-22 12:24,100,22,0
40,350,10.1,360.1,143953828181,cookiecat70,Feb-22 06:30,100,45,0
41,365,0,365,124580507288,purpleauctionz,Feb-22 04:42,100,913,0
42,369,0,369,254874580258,freedom-wire,Feb-21 19:36,99.6,2869,1
43,315,11.1,326.1,193908002364,familyh_7861,Feb-21 18:39,100,2,0
