"product_name","product_url","product_price","product_time_ended","product_shipping","product_feedback_percent","product_item_number"
"New ListingApple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/363313557678?epid=9030594179&hash=item54972cf0ae%3Ag%3AT6sAAOSwwUdgQmFf&LH_BIN=1&LH_ItemCondition=1000","$350.00","Mar-5 09:18","$11.10","100% positive feedback","363313557678"
"Apple iPad Mini 5th Generation 2019 64GB WiFi Gold MUQY2LL/A","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-2019-64GB-WiFi-Gold-MUQY2LL-A/124106793926?epid=13030600264&hash=item1ce55763c6%3Ag%3Aa60AAOSwR25e4R-1&LH_BIN=1&LH_ItemCondition=1000","$399.00","Mar-4 11:53","FREE","99.6% positive feedback","124106793926"
"Apple iPad Mini 5th Generation 2019 64GB WiFi Space Gray MUQW2LL/A","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-2019-64GB-WiFi-Space-Gray-MUQW2LL-A/124106793327?epid=9030594179&hash=item1ce557616f%3Ag%3A6sgAAOSw7z5eYAbu&LH_BIN=1&LH_ItemCondition=1000","$399.00","Mar-4 11:52","FREE","","124106793327"
"Apple iPad Mini (5th Gen) 64GB Wi-Fi Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Gen-64GB-Wi-Fi-Space-Gray/143966352702?epid=9030594179&hash=item218510353e%3Ag%3AF%7EMAAOSwzM5gPule&LH_BIN=1&LH_ItemCondition=1000","$369.99","Mar-3 16:06","FREE","99.2% positive feedback","143966352702"
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/164738423220?epid=9030594179&hash=item265b2cd9b4%3Ag%3AS-MAAOSwOFZeNtQR&LH_BIN=1&LH_ItemCondition=1000","$300.00","Mar-3 14:00","$13.90","100% positive feedback","164738423220"
"Apple iPad Mini (5th Gen) 64GB Wi-Fi Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Gen-64GB-Wi-Fi-Space-Gray/402724760458?epid=9030594179&hash=item5dc4442b8a%3Ag%3AYyAAAOSwCl5gPrPZ&LH_BIN=1&LH_ItemCondition=1000","$350.00","Mar-2 21:05","FREE","99.5% positive feedback","402724760458"
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Gold / BRAND NEW","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Gold-BRAND-NEW/203192585051?epid=13030600264&hash=item2f4f38cb5b%3Ag%3AzNgAAOSw2Olfuv8F&LH_BIN=1&LH_ItemCondition=1000","$377.99","Mar-2 14:07","","98.8% positive feedback","203192585051"
"Apple iPad mini 5th Gen WiFi+Cellular 64GB 7.9"" Retina Space Gray UNLOCKED","https://www.ebay.com/itm/Apple-iPad-mini-5th-Gen-WiFi-Cellular-64GB-7-9-Retina-Space-Gray-UNLOCKED/224351118715?epid=27030598070&hash=item343c5e657b%3Ag%3AORAAAOSwh8lgLqyn&LH_BIN=1&LH_ItemCondition=1000","$509.99","Mar-2 12:55","","100% positive feedback","224351118715"
"New Apple iPad Mini (5th Generation) 64GB Wi-Fi + 4G (Unlocked) 7.9in Space Gray","https://www.ebay.com/itm/New-Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-4G-Unlocked-7-9in-Space-Gray/333906276436?epid=27030598070&hash=item4dbe5d7054%3Ag%3AjZIAAOSwcy1gPUl7&LH_BIN=1&LH_ItemCondition=1000","$469.00","Mar-2 06:58","FREE","100% positive feedback","333906276436"
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Silver ***FREE SHIPPING***","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Silver-FREE-SHIPPING/154353658429?epid=2301649792&hash=item23f031ea3d%3Ag%3A%7E5sAAOSwcUBfaAvc&LH_BIN=1&LH_ItemCondition=1000","$359.99","Mar-1 19:35","","99.5% positive feedback","154353658429"
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Silver ***FREE SHIPPING***","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Silver-FREE-SHIPPING/154351996258?epid=2301649792&hash=item23f0188d62%3Ag%3A%7E5sAAOSwcUBfaAvc&LH_BIN=1&LH_ItemCondition=1000","$359.99","Mar-1 09:51","","","154351996258"
"New Apple iPad Mini (5th Generation) 64GB Wi-Fi + 4G (Unlocked) 7.9in Space Gray","https://www.ebay.com/itm/New-Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-4G-Unlocked-7-9in-Space-Gray/233907018743?epid=27030598070&hash=item3675f1dbf7%3Ag%3AxNQAAOSwcvFgNM8x&LH_BIN=1&LH_ItemCondition=1000","$429.95","Feb-28 12:47","","100% positive feedback","233907018743"
"New Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in -Gold* MUQY2LL/A, sealed","https://www.ebay.com/itm/New-Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Gold-MUQY2LL-A-sealed/154325587525?epid=13030600264&hash=item23ee859645%3Ag%3AFl0AAOSwFwRezUYD&LH_BIN=1&LH_ItemCondition=1000","$399.00","Feb-28 11:29","","99.5% positive feedback","154325587525"
